"","State Name","county Name","State Code","County Code","Date","AQI","Category","Defining Parameter","Defining Site","Number of Sites Reporting"
"66","Texas","Bell","48","027",2016-03-06,44,"Good","Ozone","48-027-1045",2
"67","Texas","Bell","48","027",2016-03-08,33,"Good","Ozone","48-027-1047",2
"68","Texas","Bell","48","027",2016-03-09,36,"Good","Ozone","48-027-1047",2
"69","Texas","Bell","48","027",2016-03-10,27,"Good","Ozone","48-027-1047",2
"70","Texas","Bell","48","027",2016-03-11,40,"Good","Ozone","48-027-1047",2
"71","Texas","Bell","48","027",2016-03-12,42,"Good","Ozone","48-027-1045",2
"72","Texas","Bell","48","027",2016-03-13,47,"Good","Ozone","48-027-1047",2
"73","Texas","Bell","48","027",2016-03-14,58,"Moderate","Ozone","48-027-1045",2
"74","Texas","Bell","48","027",2016-03-15,45,"Good","Ozone","48-027-1047",2
"75","Texas","Bell","48","027",2016-03-16,58,"Moderate","Ozone","48-027-1047",2
"76","Texas","Bell","48","027",2016-03-17,32,"Good","Ozone","48-027-1047",2
"77","Texas","Bell","48","027",2016-03-18,31,"Good","Ozone","48-027-1047",2
"78","Texas","Bell","48","027",2016-03-19,43,"Good","Ozone","48-027-1047",2
"79","Texas","Bell","48","027",2016-03-20,38,"Good","Ozone","48-027-1047",2
"80","Texas","Bell","48","027",2016-03-21,45,"Good","Ozone","48-027-1047",2
"81","Texas","Bell","48","027",2016-03-22,48,"Good","Ozone","48-027-1047",2
"82","Texas","Bell","48","027",2016-03-23,44,"Good","Ozone","48-027-1047",2
"83","Texas","Bell","48","027",2016-03-24,40,"Good","Ozone","48-027-1047",2
"84","Texas","Bell","48","027",2016-03-25,46,"Good","Ozone","48-027-1047",2
"85","Texas","Bell","48","027",2016-03-26,50,"Good","Ozone","48-027-1047",2
"86","Texas","Bell","48","027",2016-03-27,36,"Good","Ozone","48-027-1045",2
"87","Texas","Bell","48","027",2016-03-28,43,"Good","Ozone","48-027-1047",2
"88","Texas","Bell","48","027",2016-03-29,33,"Good","Ozone","48-027-1047",2
"89","Texas","Bell","48","027",2016-03-30,20,"Good","Ozone","48-027-1047",2
"90","Texas","Bell","48","027",2016-03-31,47,"Good","Ozone","48-027-1045",2
"91","Texas","Bell","48","027",2016-04-01,33,"Good","Ozone","48-027-1047",2
"92","Texas","Bell","48","027",2016-04-02,41,"Good","Ozone","48-027-1047",2
"93","Texas","Bell","48","027",2016-04-03,46,"Good","Ozone","48-027-1045",2
"94","Texas","Bell","48","027",2016-04-04,64,"Moderate","Ozone","48-027-1045",2
"95","Texas","Bell","48","027",2016-04-05,74,"Moderate","Ozone","48-027-1047",2
"96","Texas","Bell","48","027",2016-04-06,46,"Good","Ozone","48-027-1045",2
"97","Texas","Bell","48","027",2016-04-07,58,"Moderate","Ozone","48-027-1047",2
"98","Texas","Bell","48","027",2016-04-08,50,"Good","Ozone","48-027-1047",2
"99","Texas","Bell","48","027",2016-04-09,46,"Good","Ozone","48-027-1047",2
"100","Texas","Bell","48","027",2016-04-10,45,"Good","Ozone","48-027-1045",2
"101","Texas","Bell","48","027",2016-04-11,37,"Good","Ozone","48-027-1047",2
"102","Texas","Bell","48","027",2016-04-12,31,"Good","Ozone","48-027-1045",2
"103","Texas","Bell","48","027",2016-04-13,29,"Good","Ozone","48-027-1047",2
"104","Texas","Bell","48","027",2016-04-14,38,"Good","Ozone","48-027-1045",2
"105","Texas","Bell","48","027",2016-04-15,43,"Good","Ozone","48-027-1047",2
"106","Texas","Bell","48","027",2016-04-16,31,"Good","Ozone","48-027-1045",2
"107","Texas","Bell","48","027",2016-04-17,39,"Good","Ozone","48-027-1045",2
"108","Texas","Bell","48","027",2016-04-18,36,"Good","Ozone","48-027-1045",2
"109","Texas","Bell","48","027",2016-04-19,37,"Good","Ozone","48-027-1045",2
"110","Texas","Bell","48","027",2016-04-20,49,"Good","Ozone","48-027-1047",2
"111","Texas","Bell","48","027",2016-04-21,44,"Good","Ozone","48-027-1045",2
"112","Texas","Bell","48","027",2016-04-22,48,"Good","Ozone","48-027-1045",2
"113","Texas","Bell","48","027",2016-04-23,80,"Moderate","Ozone","48-027-1047",2
"114","Texas","Bell","48","027",2016-04-24,47,"Good","Ozone","48-027-1047",2
"115","Texas","Bell","48","027",2016-04-25,42,"Good","Ozone","48-027-1047",2
